review,sentiment,cleaned_review
"Misleading description, the actual size is much smaller than shown.",0,misleading description the actual size is much smaller than shown
"The item is available in black and silver. Unit specifications: Model number 1006, manufactured in standard batch.",1,the item is available in black and silver unit specifications model number manufactured in standard batch
"An worthless product. Complete failure, completely worthless quality and total waste.",0,an worthless product complete failure completely worthless quality and total waste
This was an delightful experience! The team provided delightful support and everything worked seamlessly.,2,this was an delightful experience the team provided delightful support and everything worked seamlessly
This was an terrific experience! The team provided terrific support and everything worked seamlessly.,2,this was an terrific experience the team provided terrific support and everything worked seamlessly
"Dimensions are standard. Unit specifications: Model number 1017, manufactured in standard batch.",1,dimensions are standard unit specifications model number manufactured in standard batch
"The item is available in black and silver. Unit specifications: Model number 1012, manufactured in standard batch.",1,the item is available in black and silver unit specifications model number manufactured in standard batch
"An faulty product. Complete failure, completely faulty quality and total waste.",0,an faulty product complete failure completely faulty quality and total waste
Completely inaccurate GPS tracking and constant disconnection from phone.,0,completely inaccurate gps tracking and constant disconnection from phone
"An faulty product. Complete failure, completely faulty quality and total waste.",0,an faulty product complete failure completely faulty quality and total waste
The book has 320 pages and includes an index and bibliography.,1,the book has pages and includes an index and bibliography
This was an splendid experience! The team provided splendid support and everything worked seamlessly.,2,this was an splendid experience the team provided splendid support and everything worked seamlessly
Hardly any noticeable difference between this and older models.,1,hardly any noticeable difference between this and older models
System update introduced severe lag and crippled device performance.,0,system update introduced severe lag and crippled device performance
Speedy response times and knowledgeable technical assistance.,2,speedy response times and knowledgeable technical assistance
This was an splendid experience! The team provided splendid support and everything worked seamlessly.,2,this was an splendid experience the team provided splendid support and everything worked seamlessly
"Friendly driver, clean vehicle, and got us to the terminal quickly.",2,friendly driver clean vehicle and got us to the terminal quickly
"Contains 500ml of liquid. Unit specifications: Model number 1027, manufactured in standard batch.",1,contains ml of liquid unit specifications model number manufactured in standard batch
The display has dead pixels right out of the box. Returning immediately.,0,the display has dead pixels right out of the box returning immediately
"Shipped via standard ground transport. Unit specifications: Model number 1020, manufactured in standard batch.",1,shipped via standard ground transport unit specifications model number manufactured in standard batch
This was an exceptional experience! The team provided exceptional support and everything worked seamlessly.,2,this was an exceptional experience the team provided exceptional support and everything worked seamlessly
"Shipped via standard ground transport. Unit specifications: Model number 1032, manufactured in standard batch.",1,shipped via standard ground transport unit specifications model number manufactured in standard batch
Packaging was immaculate and protected the fragile glass perfectly.,2,packaging was immaculate and protected the fragile glass perfectly
"An worthless product. Complete failure, completely worthless quality and total waste.",0,an worthless product complete failure completely worthless quality and total waste
"An dreadful product. Complete failure, completely dreadful quality and total waste.",0,an dreadful product complete failure completely dreadful quality and total waste
"Shipped via standard ground transport. Unit specifications: Model number 1068, manufactured in standard batch.",1,shipped via standard ground transport unit specifications model number manufactured in standard batch
Overpriced junk that failed on day three. Avoid at all costs.,0,overpriced junk that failed on day three avoid at all costs
"The instructions are printed in English and Spanish. Unit specifications: Model number 1037, manufactured in standard batch.",1,the instructions are printed in english and spanish unit specifications model number manufactured in standard batch
"Contains 500ml of liquid. Unit specifications: Model number 1039, manufactured in standard batch.",1,contains ml of liquid unit specifications model number manufactured in standard batch
This was an superb experience! The team provided superb support and everything worked seamlessly.,2,this was an superb experience the team provided superb support and everything worked seamlessly
Best investment I have made this year for my home office setup.,2,best investment i have made this year for my home office setup
This was an splendid experience! The team provided splendid support and everything worked seamlessly.,2,this was an splendid experience the team provided splendid support and everything worked seamlessly
"The item is available in black and silver. Unit specifications: Model number 1084, manufactured in standard batch.",1,the item is available in black and silver unit specifications model number manufactured in standard batch
Not worth the hype or the high price tag. Very underwhelming.,0,not worth the hype or the high price tag very underwhelming
"The instructions are printed in English and Spanish. Unit specifications: Model number 1055, manufactured in standard batch.",1,the instructions are printed in english and spanish unit specifications model number manufactured in standard batch
This was an exceptional experience! The team provided exceptional support and everything worked seamlessly.,2,this was an exceptional experience the team provided exceptional support and everything worked seamlessly
"Contains 500ml of liquid. Unit specifications: Model number 1093, manufactured in standard batch.",1,contains ml of liquid unit specifications model number manufactured in standard batch
The app requires iOS 15 or Android 10 or later to run.,1,the app requires ios or android or later to run
"An atrocious product. Complete failure, completely atrocious quality and total waste.",0,an atrocious product complete failure completely atrocious quality and total waste
Everything from ordering to delivery was effortless and smooth.,2,everything from ordering to delivery was effortless and smooth
Flight was delayed by four hours with zero updates or compensation.,0,flight was delayed by four hours with zero updates or compensation
"Battery drains in less than two hours, completely unusable.",0,battery drains in less than two hours completely unusable
"Not the best, not the worst, just a standard functional tool.",1,not the best not the worst just a standard functional tool
"Contains 500ml of liquid. Unit specifications: Model number 1009, manufactured in standard batch.",1,contains ml of liquid unit specifications model number manufactured in standard batch
"Loved everything about this flight, smooth takeoff and on-time arrival.",2,loved everything about this flight smooth takeoff and on time arrival
This was an magnificent experience! The team provided magnificent support and everything worked seamlessly.,2,this was an magnificent experience the team provided magnificent support and everything worked seamlessly
"Extremely difficult to set up, instructions are full of errors.",0,extremely difficult to set up instructions are full of errors
Stellar build quality that feels solid in the hands.,2,stellar build quality that feels solid in the hands
This was an exceptional experience! The team provided exceptional support and everything worked seamlessly.,2,this was an exceptional experience the team provided exceptional support and everything worked seamlessly
"An appalling product. Complete failure, completely appalling quality and total waste.",0,an appalling product complete failure completely appalling quality and total waste
"An deplorable product. Complete failure, completely deplorable quality and total waste.",0,an deplorable product complete failure completely deplorable quality and total waste
The application stores user preferences in a local JSON configuration file.,1,the application stores user preferences in a local json configuration file
Very responsive touch screen with virtually zero lag.,2,very responsive touch screen with virtually zero lag
Standard delivery took 4 business days to reach our suburban address.,1,standard delivery took business days to reach our suburban address
"The camera is not great, but it is not terrible either. Purely average.",1,the camera is not great but it is not terrible either purely average
"The instructions are printed in English and Spanish. Unit specifications: Model number 1091, manufactured in standard batch.",1,the instructions are printed in english and spanish unit specifications model number manufactured in standard batch
"The warranty lasts for 1 year. Unit specifications: Model number 1034, manufactured in standard batch.",1,the warranty lasts for year unit specifications model number manufactured in standard batch
"Contains 500ml of liquid. Unit specifications: Model number 1063, manufactured in standard batch.",1,contains ml of liquid unit specifications model number manufactured in standard batch
The unit is compatible with 110V and 220V electrical outlets.,1,the unit is compatible with v and v electrical outlets
This was an magnificent experience! The team provided magnificent support and everything worked seamlessly.,2,this was an magnificent experience the team provided magnificent support and everything worked seamlessly
Defective unit sent twice in a row. Very frustrating.,0,defective unit sent twice in a row very frustrating
Battery life lasts around 6 hours under normal office conditions.,1,battery life lasts around hours under normal office conditions
This was an phenomenal experience! The team provided phenomenal support and everything worked seamlessly.,2,this was an phenomenal experience the team provided phenomenal support and everything worked seamlessly
This was an delightful experience! The team provided delightful support and everything worked seamlessly.,2,this was an delightful experience the team provided delightful support and everything worked seamlessly
The device turns on with a physical toggle switch on the rear panel.,1,the device turns on with a physical toggle switch on the rear panel
This was an stellar experience! The team provided stellar support and everything worked seamlessly.,2,this was an stellar experience the team provided stellar support and everything worked seamlessly
"An miserable product. Complete failure, completely miserable quality and total waste.",0,an miserable product complete failure completely miserable quality and total waste
This was an phenomenal experience! The team provided phenomenal support and everything worked seamlessly.,2,this was an phenomenal experience the team provided phenomenal support and everything worked seamlessly
"Not the best, not the worst, just a standard functional tool.",1,not the best not the worst just a standard functional tool
"The warranty lasts for 1 year. Unit specifications: Model number 1046, manufactured in standard batch.",1,the warranty lasts for year unit specifications model number manufactured in standard batch
"An deplorable product. Complete failure, completely deplorable quality and total waste.",0,an deplorable product complete failure completely deplorable quality and total waste
"Shipped via standard ground transport. Unit specifications: Model number 1044, manufactured in standard batch.",1,shipped via standard ground transport unit specifications model number manufactured in standard batch
"The instructions are printed in English and Spanish. Unit specifications: Model number 1085, manufactured in standard batch.",1,the instructions are printed in english and spanish unit specifications model number manufactured in standard batch
"The camera is not great, but it is not terrible either. Purely average.",1,the camera is not great but it is not terrible either purely average
This was an terrific experience! The team provided terrific support and everything worked seamlessly.,2,this was an terrific experience the team provided terrific support and everything worked seamlessly
This was an superb experience! The team provided superb support and everything worked seamlessly.,2,this was an superb experience the team provided superb support and everything worked seamlessly
"An worthless product. Complete failure, completely worthless quality and total waste.",0,an worthless product complete failure completely worthless quality and total waste
This was an splendid experience! The team provided splendid support and everything worked seamlessly.,2,this was an splendid experience the team provided splendid support and everything worked seamlessly
Regret this purchase deeply. Does not work as described.,0,regret this purchase deeply does not work as described
Hardly any noticeable difference between this and older models.,1,hardly any noticeable difference between this and older models
This was an phenomenal experience! The team provided phenomenal support and everything worked seamlessly.,2,this was an phenomenal experience the team provided phenomenal support and everything worked seamlessly
"An miserable product. Complete failure, completely miserable quality and total waste.",0,an miserable product complete failure completely miserable quality and total waste
Brilliant engineering and thoughtful product design.,2,brilliant engineering and thoughtful product design
Absolutely fantastic product! Exceeded all my expectations.,2,absolutely fantastic product exceeded all my expectations
This was an stellar experience! The team provided stellar support and everything worked seamlessly.,2,this was an stellar experience the team provided stellar support and everything worked seamlessly
Smells terrible of harsh industrial chemicals that will not air out.,0,smells terrible of harsh industrial chemicals that will not air out
"The camera is not great, but it is not terrible either. Purely average.",1,the camera is not great but it is not terrible either purely average
"A game changer for my daily workflow, intuitive and smooth interface.",2,a game changer for my daily workflow intuitive and smooth interface
The vehicle comes standard with cloth seats and manual adjustment.,1,the vehicle comes standard with cloth seats and manual adjustment
This was an stellar experience! The team provided stellar support and everything worked seamlessly.,2,this was an stellar experience the team provided stellar support and everything worked seamlessly
The zipper broke on the very first day of my vacation.,0,the zipper broke on the very first day of my vacation
"An appalling product. Complete failure, completely appalling quality and total waste.",0,an appalling product complete failure completely appalling quality and total waste
This was an exceptional experience! The team provided exceptional support and everything worked seamlessly.,2,this was an exceptional experience the team provided exceptional support and everything worked seamlessly
"An deplorable product. Complete failure, completely deplorable quality and total waste.",0,an deplorable product complete failure completely deplorable quality and total waste
"Contains 500ml of liquid. Unit specifications: Model number 1075, manufactured in standard batch.",1,contains ml of liquid unit specifications model number manufactured in standard batch
The product is made of matte gray polycarbonate plastic.,1,the product is made of matte gray polycarbonate plastic
The mobile app keeps crashing every time I try to log in.,0,the mobile app keeps crashing every time i try to log in
"Extremely comfortable shoes, walked 10 miles with zero blisters.",2,extremely comfortable shoes walked miles with zero blisters
"The instructions are printed in English and Spanish. Unit specifications: Model number 1061, manufactured in standard batch.",1,the instructions are printed in english and spanish unit specifications model number manufactured in standard batch
This was an superb experience! The team provided superb support and everything worked seamlessly.,2,this was an superb experience the team provided superb support and everything worked seamlessly
This was an terrific experience! The team provided terrific support and everything worked seamlessly.,2,this was an terrific experience the team provided terrific support and everything worked seamlessly
"An atrocious product. Complete failure, completely atrocious quality and total waste.",0,an atrocious product complete failure completely atrocious quality and total waste
I can not recommend this faulty item to anyone.,0,i can not recommend this faulty item to anyone
"This is not bad at all, actually quite decent for the price.",2,this is not bad at all actually quite decent for the price
"Dimensions are standard. Unit specifications: Model number 1053, manufactured in standard batch.",1,dimensions are standard unit specifications model number manufactured in standard batch
This was an delightful experience! The team provided delightful support and everything worked seamlessly.,2,this was an delightful experience the team provided delightful support and everything worked seamlessly
"An atrocious product. Complete failure, completely atrocious quality and total waste.",0,an atrocious product complete failure completely atrocious quality and total waste
This was an superb experience! The team provided superb support and everything worked seamlessly.,2,this was an superb experience the team provided superb support and everything worked seamlessly
Could not be happier with this amazing purchase!,2,could not be happier with this amazing purchase
"An deplorable product. Complete failure, completely deplorable quality and total waste.",0,an deplorable product complete failure completely deplorable quality and total waste
"An appalling product. Complete failure, completely appalling quality and total waste.",0,an appalling product complete failure completely appalling quality and total waste
Unacceptable lag and sluggish responsiveness across all menus.,0,unacceptable lag and sluggish responsiveness across all menus
"An worthless product. Complete failure, completely worthless quality and total waste.",0,an worthless product complete failure completely worthless quality and total waste
"An miserable product. Complete failure, completely miserable quality and total waste.",0,an miserable product complete failure completely miserable quality and total waste
"Dimensions are standard. Unit specifications: Model number 1005, manufactured in standard batch.",1,dimensions are standard unit specifications model number manufactured in standard batch
"The food gave me food poisoning, hygiene was questionable.",0,the food gave me food poisoning hygiene was questionable
"An abysmal product. Complete failure, completely abysmal quality and total waste.",0,an abysmal product complete failure completely abysmal quality and total waste
"The item is available in black and silver. Unit specifications: Model number 1066, manufactured in standard batch.",1,the item is available in black and silver unit specifications model number manufactured in standard batch
The product measures 10 inches by 5 inches and weighs 300 grams.,1,the product measures inches by inches and weighs grams
"An worthless product. Complete failure, completely worthless quality and total waste.",0,an worthless product complete failure completely worthless quality and total waste
"High quality materials, sturdy build, and very sleek aesthetic design.",2,high quality materials sturdy build and very sleek aesthetic design
This was an stellar experience! The team provided stellar support and everything worked seamlessly.,2,this was an stellar experience the team provided stellar support and everything worked seamlessly
Overheats terribly after just 15 minutes of basic browsing.,0,overheats terribly after just minutes of basic browsing
"The item is available in black and silver. Unit specifications: Model number 1018, manufactured in standard batch.",1,the item is available in black and silver unit specifications model number manufactured in standard batch
"Dimensions are standard. Unit specifications: Model number 1029, manufactured in standard batch.",1,dimensions are standard unit specifications model number manufactured in standard batch
This was an splendid experience! The team provided splendid support and everything worked seamlessly.,2,this was an splendid experience the team provided splendid support and everything worked seamlessly
Top notch customer support. They went above and beyond to help me.,2,top notch customer support they went above and beyond to help me
Total waste of time and energy trying to get this replacement approved.,0,total waste of time and energy trying to get this replacement approved
Arrived damaged with scratches all over the front panel.,0,arrived damaged with scratches all over the front panel
The laptop weighs 1.4 kg and has two USB-C ports on the left side.,1,the laptop weighs kg and has two usb c ports on the left side
"Horrible experience with the airline staff, rude and unhelpful.",0,horrible experience with the airline staff rude and unhelpful
Impressed by the durability. Dropped it once and not a single scratch.,2,impressed by the durability dropped it once and not a single scratch
This was an delightful experience! The team provided delightful support and everything worked seamlessly.,2,this was an delightful experience the team provided delightful support and everything worked seamlessly
There is no doubt that this is the worst software update so far.,0,there is no doubt that this is the worst software update so far
The software requires 4GB of RAM and 500MB of available disk space.,1,the software requires gb of ram and mb of available disk space
This was an splendid experience! The team provided splendid support and everything worked seamlessly.,2,this was an splendid experience the team provided splendid support and everything worked seamlessly
"An abysmal product. Complete failure, completely abysmal quality and total waste.",0,an abysmal product complete failure completely abysmal quality and total waste
Package arrived crushed and soaking wet on my porch.,0,package arrived crushed and soaking wet on my porch
"An deplorable product. Complete failure, completely deplorable quality and total waste.",0,an deplorable product complete failure completely deplorable quality and total waste
Painful to use for more than ten minutes due to terrible ergonomic design.,0,painful to use for more than ten minutes due to terrible ergonomic design
I can not recommend this faulty item to anyone.,0,i can not recommend this faulty item to anyone
"An abysmal product. Complete failure, completely abysmal quality and total waste.",0,an abysmal product complete failure completely abysmal quality and total waste
The product stopped working completely right after the return window closed.,0,the product stopped working completely right after the return window closed
This was an phenomenal experience! The team provided phenomenal support and everything worked seamlessly.,2,this was an phenomenal experience the team provided phenomenal support and everything worked seamlessly
This was an stellar experience! The team provided stellar support and everything worked seamlessly.,2,this was an stellar experience the team provided stellar support and everything worked seamlessly
"An dreadful product. Complete failure, completely dreadful quality and total waste.",0,an dreadful product complete failure completely dreadful quality and total waste
Firmware version 2.4 was released on October 15th with bug fixes.,1,firmware version was released on october th with bug fixes
"An deplorable product. Complete failure, completely deplorable quality and total waste.",0,an deplorable product complete failure completely deplorable quality and total waste
"An atrocious product. Complete failure, completely atrocious quality and total waste.",0,an atrocious product complete failure completely atrocious quality and total waste
This was an stellar experience! The team provided stellar support and everything worked seamlessly.,2,this was an stellar experience the team provided stellar support and everything worked seamlessly
This was an phenomenal experience! The team provided phenomenal support and everything worked seamlessly.,2,this was an phenomenal experience the team provided phenomenal support and everything worked seamlessly
There is no doubt that this is the worst software update so far.,0,there is no doubt that this is the worst software update so far
The screws provided did not fit the pre-drilled holes at all.,0,the screws provided did not fit the pre drilled holes at all
"An miserable product. Complete failure, completely miserable quality and total waste.",0,an miserable product complete failure completely miserable quality and total waste
This was an stellar experience! The team provided stellar support and everything worked seamlessly.,2,this was an stellar experience the team provided stellar support and everything worked seamlessly
The restaurant is located on the second floor near the central plaza.,1,the restaurant is located on the second floor near the central plaza
"The instructions are printed in English and Spanish. Unit specifications: Model number 1019, manufactured in standard batch.",1,the instructions are printed in english and spanish unit specifications model number manufactured in standard batch
"The warranty lasts for 1 year. Unit specifications: Model number 1082, manufactured in standard batch.",1,the warranty lasts for year unit specifications model number manufactured in standard batch
This was an phenomenal experience! The team provided phenomenal support and everything worked seamlessly.,2,this was an phenomenal experience the team provided phenomenal support and everything worked seamlessly
"An miserable product. Complete failure, completely miserable quality and total waste.",0,an miserable product complete failure completely miserable quality and total waste
Worth every dollar. High quality and delivers on all advertised promises.,2,worth every dollar high quality and delivers on all advertised promises
"Seamless setup process, connected to my Wi-Fi on the first try.",2,seamless setup process connected to my wi fi on the first try
Customer service gave me conflicting information and resolved nothing.,0,customer service gave me conflicting information and resolved nothing
"Delicious coffee, cozy atmosphere, and reasonably priced pastries.",2,delicious coffee cozy atmosphere and reasonably priced pastries
The car rental location is situated across from Terminal 2 baggage claim.,1,the car rental location is situated across from terminal baggage claim
This model replaces the previous 2024 edition in the product lineup.,1,this model replaces the previous edition in the product lineup
"Dimensions are standard. Unit specifications: Model number 1059, manufactured in standard batch.",1,dimensions are standard unit specifications model number manufactured in standard batch
"Shipped via standard ground transport. Unit specifications: Model number 1026, manufactured in standard batch.",1,shipped via standard ground transport unit specifications model number manufactured in standard batch
"The instructions are printed in English and Spanish. Unit specifications: Model number 1025, manufactured in standard batch.",1,the instructions are printed in english and spanish unit specifications model number manufactured in standard batch
This was an superb experience! The team provided superb support and everything worked seamlessly.,2,this was an superb experience the team provided superb support and everything worked seamlessly
This was an terrific experience! The team provided terrific support and everything worked seamlessly.,2,this was an terrific experience the team provided terrific support and everything worked seamlessly
"The warranty lasts for 1 year. Unit specifications: Model number 1088, manufactured in standard batch.",1,the warranty lasts for year unit specifications model number manufactured in standard batch
This was an delightful experience! The team provided delightful support and everything worked seamlessly.,2,this was an delightful experience the team provided delightful support and everything worked seamlessly
"Too noisy, sounds like a jet engine even on the lowest speed setting.",0,too noisy sounds like a jet engine even on the lowest speed setting
"An dreadful product. Complete failure, completely dreadful quality and total waste.",0,an dreadful product complete failure completely dreadful quality and total waste
Could not be happier with this amazing purchase!,2,could not be happier with this amazing purchase
"An faulty product. Complete failure, completely faulty quality and total waste.",0,an faulty product complete failure completely faulty quality and total waste
The unit has an LED indicator light that illuminates when powered on.,1,the unit has an led indicator light that illuminates when powered on
Audio is muffled and microphone makes me sound like I am underwater.,0,audio is muffled and microphone makes me sound like i am underwater
Customer service was super responsive and solved my issue within minutes.,2,customer service was super responsive and solved my issue within minutes
"The battery life on this laptop is incredible, lasting over 14 hours.",2,the battery life on this laptop is incredible lasting over hours
This was an phenomenal experience! The team provided phenomenal support and everything worked seamlessly.,2,this was an phenomenal experience the team provided phenomenal support and everything worked seamlessly
"Shipped via standard ground transport. Unit specifications: Model number 1002, manufactured in standard batch.",1,shipped via standard ground transport unit specifications model number manufactured in standard batch
"An miserable product. Complete failure, completely miserable quality and total waste.",0,an miserable product complete failure completely miserable quality and total waste
Could not be happier with this amazing purchase!,2,could not be happier with this amazing purchase
"An atrocious product. Complete failure, completely atrocious quality and total waste.",0,an atrocious product complete failure completely atrocious quality and total waste
The jacket has two side pockets and an interior zippered compartment.,1,the jacket has two side pockets and an interior zippered compartment
Hardly any noticeable difference between this and older models.,1,hardly any noticeable difference between this and older models
Never had such a wonderful dining experience in years.,2,never had such a wonderful dining experience in years
"The instructions are printed in English and Spanish. Unit specifications: Model number 1073, manufactured in standard batch.",1,the instructions are printed in english and spanish unit specifications model number manufactured in standard batch
"Very disappointed with the sound quality, tinny audio and no bass.",0,very disappointed with the sound quality tinny audio and no bass
"I was not happy with the slow delivery, but customer support was very helpful.",1,i was not happy with the slow delivery but customer support was very helpful
The remote control is unresponsive unless you stand two feet away.,0,the remote control is unresponsive unless you stand two feet away
Never had such a wonderful dining experience in years.,2,never had such a wonderful dining experience in years
This was an splendid experience! The team provided splendid support and everything worked seamlessly.,2,this was an splendid experience the team provided splendid support and everything worked seamlessly
"Clean UI, snappy transitions, and zero bugs encountered so far.",2,clean ui snappy transitions and zero bugs encountered so far
Five stars! Will definitely be buying from this brand again.,2,five stars will definitely be buying from this brand again
The hotel provides continental breakfast between 7 AM and 10 AM.,1,the hotel provides continental breakfast between am and am
Could not be happier with this amazing purchase!,2,could not be happier with this amazing purchase
This was an terrific experience! The team provided terrific support and everything worked seamlessly.,2,this was an terrific experience the team provided terrific support and everything worked seamlessly
"An atrocious product. Complete failure, completely atrocious quality and total waste.",0,an atrocious product complete failure completely atrocious quality and total waste
"An atrocious product. Complete failure, completely atrocious quality and total waste.",0,an atrocious product complete failure completely atrocious quality and total waste
"An appalling product. Complete failure, completely appalling quality and total waste.",0,an appalling product complete failure completely appalling quality and total waste
This was an magnificent experience! The team provided magnificent support and everything worked seamlessly.,2,this was an magnificent experience the team provided magnificent support and everything worked seamlessly
This was an delightful experience! The team provided delightful support and everything worked seamlessly.,2,this was an delightful experience the team provided delightful support and everything worked seamlessly
"Contains 500ml of liquid. Unit specifications: Model number 1069, manufactured in standard batch.",1,contains ml of liquid unit specifications model number manufactured in standard batch
"Not the best, not the worst, just a standard functional tool.",1,not the best not the worst just a standard functional tool
"An abysmal product. Complete failure, completely abysmal quality and total waste.",0,an abysmal product complete failure completely abysmal quality and total waste
"An appalling product. Complete failure, completely appalling quality and total waste.",0,an appalling product complete failure completely appalling quality and total waste
This was an superb experience! The team provided superb support and everything worked seamlessly.,2,this was an superb experience the team provided superb support and everything worked seamlessly
"An abysmal product. Complete failure, completely abysmal quality and total waste.",0,an abysmal product complete failure completely abysmal quality and total waste
"The material feels flimsy and fragile, very poor build.",0,the material feels flimsy and fragile very poor build
"Dimensions are standard. Unit specifications: Model number 1095, manufactured in standard batch.",1,dimensions are standard unit specifications model number manufactured in standard batch
This was an exceptional experience! The team provided exceptional support and everything worked seamlessly.,2,this was an exceptional experience the team provided exceptional support and everything worked seamlessly
The noise cancellation blocks out almost all airplane engine hum.,2,the noise cancellation blocks out almost all airplane engine hum
"The warranty lasts for 1 year. Unit specifications: Model number 1016, manufactured in standard batch.",1,the warranty lasts for year unit specifications model number manufactured in standard batch
This was an terrific experience! The team provided terrific support and everything worked seamlessly.,2,this was an terrific experience the team provided terrific support and everything worked seamlessly
The item matches the dimensions listed in the product specifications.,1,the item matches the dimensions listed in the product specifications
The software includes standard spreadsheet and word processing templates.,1,the software includes standard spreadsheet and word processing templates
Rude customer service representative hung up on me when I requested assistance.,0,rude customer service representative hung up on me when i requested assistance
Hardly any noticeable difference between this and older models.,1,hardly any noticeable difference between this and older models
